Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0125761,-0.0149207,0.0271237,-0.0313969,0.00426239,0.00724304,-0.0115408,0.0368795,-0.0170417,0.0202742,-0.0270517,0.00261932,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.032959,-0.0115967,0.0396729,0.0415039,0.0244141,0.0335693,0,0,0,0,0,0,-290,-740,-60,0.0604248,0.0119019,0.043335,0.0366211,0.0125122,0.0109863,3.21136
1,1,0.0113554,-0.0277381,0.0268185,-0.0268192,-0.00763947,0.0106,-0.00391144,0.0393209,-0.0374885,0.0214949,-0.0175912,0.00963837,-0.0113235,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0253296,-0.00671387,0.0271606,0.0256348,0.0180054,0.0244141,0,0,0,0,0,0,-290,-740,-60,0.0817871,-0.0012207,0.0125122,0.0128174,0.0146484,-0.0143433,3.20831
1,2,0.0128813,-0.0176673,0.0188839,-0.0323124,0.00334686,0.00205505,0.0119577,0.025588,-0.02284,0.0257673,-0.0215585,-0.00104279,-0.0110184,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.0213623,0.0430298,0.0527954,0.0418091,0.022583,0.0445557,0,0,0,0,0,0,-290,-740,-60,0.0527954,-0.0332642,0.0415039,0.0311279,0.00915527,-0.0088501,3.19977
1,3,0.0238676,-0.0304847,0.0286496,-0.0271244,-0.00275666,-0.00801575,0.0342355,0.0286398,-0.0295539,0.0132551,-0.0157602,0.0041452,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0384521,0.0369263,0.0317383,0.0280762,0.0177002,0.0186157,0,0,0,0,0,0,-290,-740,-60,0.0531006,-0.015564,0.022583,0.0204468,0.0140381,-0.00152588,3.19458
1,4,0.0186796,-0.0320106,0.0237668,-0.031702,-0.000315249,-8.11769e-005,0.0244699,0.0115499,-0.0152106,0.0239363,-0.0319345,0.0163522,-0.0113235,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.0216675,-0.0088501,0.0344849,0.0317383,0.0186157,0.0259399,0,0,0,0,0,0,-290,-740,-60,0.0552368,0.00793457,0.0274658,0.0274658,0.012207,0.00152588,3.19794
1,5,0.031497,-0.0375037,0.0234616,-0.0161381,-0.0183206,0.0142621,0.0192819,0.0268087,-0.021009,0.0181379,-0.015455,0.0187936,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0149536,0.00976563,0.0363159,0.0302124,0.015564,0.0250244,0,0,0,0,0,0,-290,-740,-60,0.0585938,0.0119019,0.0305176,0.0189209,0.017395,0.00579834,3.19336
1,6,0.0321074,-0.0408607,0.0161374,-0.017664,0.00334686,0.00205505,0.0125681,0.0347433,-0.0197883,0.0221052,-0.0182016,0.0163522,-0.0116287,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0354004,0.0146484,0.0378418,0.0350952,0.0219727,0.0238037,0,0,0,0,0,0,-290,-740,-60,0.078125,-0.00732422,0.0119019,0.00762939,0.0161743,-0.0125122,3.18542
1,7,0.0250883,-0.031095,0.0368893,-0.0161381,-0.0143533,0.00174988,0.0165353,0.0268087,-0.0222297,0.0160017,-0.0200326,0.00139862,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0289917,0.0393677,0.0637817,0.0491333,0.0271606,0.0476074,0,0,0,0,0,0,-290,-740,-60,0.0622559,-0.0354004,0.043335,0.032959,0.00640869,-0.0109863,3.18542
1,8,0.0232573,-0.0228553,0.0252926,-0.0164433,-0.00184113,-0.00252258,0.0143991,0.0316916,-0.0216193,0.014781,-0.013624,0.00689178,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0134277,0.0350952,0.0332642,0.0256348,0.0219727,0.0253296,0,0,0,0,0,0,-290,-740,-60,0.0326538,0.00549316,0.0204468,0.0146484,0.0170898,0.00762939,3.1897
