Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0287504,-0.0356727,0.0243771,-0.019495,0.0100607,-0.00771057,0.0192819,0.0228415,-0.0149055,0.0105085,-0.0172861,-0.000432435,-0.0116287,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0256348,0.0454712,0.0332642,0.0228882,0.0213623,0.0256348,0,0,0,0,0,0,-290,-740,-60,0.0222778,0.0109863,0.0186157,0.017395,0.0183105,0.0125122,0.480042
1,1,0.0321074,-0.011869,0.0255978,-0.0268192,0.00456756,0.00815857,0.00158173,0.0234518,-0.0161262,0.0211897,-0.00874114,-0.00684113,-0.0113235,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.00488281,0.0112915,0.0576782,0.0491333,0.0283813,0.0396729,42.8094,-19.9002,-20.593,1594.93,10448.4,-9319.38,217.376,-817.45,-60,0.13031,-0.0561523,0.0405884,0.0314331,0.0106812,-0.0463867,0.490112
1,2,0.0171537,-0.0112586,0.0243771,-0.0198002,-0.0195413,0.0142621,0.000666199,0.0246725,-0.0243659,0.0181379,-0.0239999,0.0105539,-0.0113235,-0.122515,0,0,0,0,0,0,300,-750,-60,0.000915527,0.0448608,0.0357056,0.0302124,0.0164795,0.0320435,0,0,0,0,0,0,-290,-740,-60,0.0320435,-0.00335693,0.0244141,0.0201416,0.0161743,0.00732422,0.4953
1,3,0.0186796,-0.0133948,0.0225461,-0.0118656,-0.0128275,0.0145673,0.00280243,0.0280294,-0.0185676,0.0153913,-0.0209482,0.0172678,-0.0107132,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0448608,0.0115967,0.0457764,0.0372314,0.0195313,0.0436401,0,0,0,0,0,0,-290,-740,-60,0.0506592,0.012207,0.0286865,0.0231934,0.0143433,0.00457764,0.4776
1,4,0.031497,-0.0274329,0.0130856,-0.0210209,-0.00580841,-0.0098468,0.00615936,0.018569,-0.0146003,0.0211897,-0.0221689,0.0102487,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0250244,0.0100708,0.0274658,0.022583,0.022583,0.0372314,0,0,0,0,0,0,-290,-740,-60,0.0601196,0.00946045,0.0369263,0.0299072,0.0109863,0.00213623,0.482483
1,5,0.0235624,-0.0216346,0.0292599,-0.0170536,-1.00732e-005,0.00419128,0.0095163,0.0204,-0.0185676,0.0245466,-0.0218637,0.0017038,-0.0119339,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0305176,0.0332642,0.0314331,0.022583,0.0201416,0.0183105,0,0,0,0,0,0,-290,-740,-60,0.0460815,-0.00640869,0.0161743,0.010376,0.0158691,0.00274658,0.497437
1,6,0.0278349,-0.0317054,0.0194943,-0.0292606,0.000905454,-0.00374329,0.00615936,0.0350485,-0.00483465,0.00135326,-0.0108774,-0.0108084,-0.0116287,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.0177002,0.00549316,0.0500488,0.043335,0.0283813,0.0390625,32.9675,-15.704,-19.5248,3311.54,8754.64,-10902.5,158.385,-909.607,-60,0.0909424,-0.0393677,0.0384521,0.0332642,0.00793457,-0.0259399,0.495911
1,7,0.0229521,-0.0237708,0.0265133,-0.0112553,-0.0225931,0.00113953,0.000666199,0.023757,-0.0240607,0.00562572,-0.0127084,-0.0047049,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0274658,0.0436401,0.027771,0.0302124,0.0262451,0.0186157,0,0,0,0,0,0,-290,-740,-60,0.0372314,0.00518799,0.0143433,0.00976563,0.0228882,0.0012207,0.493164
1,8,0.0165434,-0.031095,0.00637174,-0.0252934,-0.0128275,0.00876892,-0.00909943,0.0249777,-0.0173469,0.0141706,-0.0182016,-0.000737611,-0.0101028,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.0357056,-0.0100708,0.0372314,0.0415039,0.0222778,0.0384521,0,0,0,0,0,0,-290,-740,-60,0.0622559,-0.0012207,0.0357056,0.0332642,0.0134277,0.00305176,0.498962
