Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0360746,-0.0408607,0.0317013,-0.00942421,-0.000620425,-0.00130188,0.0168405,0.0167379,-0.0274177,0.0160017,-0.0337656,0.0053659,-0.0116287,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.0115967,0.0335693,0.0537109,0.0372314,0.0274658,0.0445557,0,0,0,0,0,0,-290,-740,-60,0.0750732,-0.0195313,0.0369263,0.0292969,0.0137329,-0.0177002,3.37952
1,1,0.031497,-0.0402503,0.0350583,-0.0127811,0.00151581,0.0121259,0.0095163,0.0228415,-0.0286384,0.0111189,-0.0346811,0.00811249,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.010376,0.0415039,0.043335,0.0369263,0.022583,0.0396729,0,0,0,0,0,0,-290,-740,-60,0.0549316,-0.0204468,0.0338745,0.0265503,0.012207,-0.00579834,3.37799
1,2,0.024478,-0.0213294,0.0240719,-0.0201054,0.00731415,0.0130414,-0.0133719,0.025588,-0.0243659,0.0175276,-0.0450571,0.00719696,-0.0113235,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0241089,0.0408936,0.0323486,0.0164795,0.0195313,0.0244141,0,0,0,0,0,0,-290,-740,-60,0.0543213,-0.00549316,0.0201416,0.0131226,0.0201416,-0.000305176,3.38287
1,3,0.0195951,-0.0155311,0.0204098,-0.0155277,0.00975555,-0.00252258,0.0125681,0.0231466,-0.0286384,0.0172224,-0.0337656,0.00353485,-0.0110184,-0.122209,-15.9051,-38.6628,-19.8915,7199.59,2983.5,-12525.8,449.989,-1111.94,-60,-0.0378418,-0.0387573,0.0411987,0.0469971,0.0213623,0.0393677,0,0,0,0,0,0,-290,-740,-60,0.0921631,0.0140381,0.0363159,0.0302124,0.010376,-0.00701904,3.39844
1,4,0.021121,-0.0124793,0.0185788,-0.0207157,-0.00123078,0.0151776,0.0137888,0.00727749,-0.0100226,0.0221052,-0.0450571,-0.00775665,-0.0113235,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0204468,0.0506592,0.0344849,0.0241089,0.0198364,0.0238037,0,0,0,0,0,0,-290,-740,-60,0.0244141,0.00976563,0.0204468,0.0183105,0.0177002,0.0164795,3.39935
1,5,0.0318022,-0.0326209,0.0292599,-0.0118656,-0.0180154,0.00480164,-0.00665802,0.0210104,-0.00880194,0.00409985,-0.0359018,0.00872284,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0354004,0.0534058,0.0494385,0.0390625,0.0262451,0.0439453,29.7632,-15.17,-23.3395,-312.423,11577.5,-14595.1,206.047,-726.614,-60,0.078125,-0.0372314,0.0460815,0.0317383,0.0112915,-0.0134277,3.39661
1,6,0.0293608,-0.0378089,0.0246823,-0.031702,-0.0177103,-0.00526917,-0.0069632,0.0243673,-0.0283332,0.0172224,-0.0371225,0.00567108,-0.0119339,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0201416,0.0177002,0.0320435,0.0283813,0.017395,0.0402832,0,0,0,0,0,0,-290,-740,-60,0.0653076,-0.0119019,0.0305176,0.0241089,0.0128174,-0.0109863,3.39447
1,7,0.0302763,-0.0286536,0.0274289,-0.0262089,-0.0180154,0.000223999,0.00463348,0.0191793,-0.0155158,0.00898266,-0.0383432,0.00322967,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0125122,0.0338745,0.0357056,0.0308228,0.0180054,0.0308228,0,0,0,0,0,0,-290,-740,-60,0.0210571,0.010376,0.0189209,0.0134277,0.0201416,0.0143433,3.36731
1,8,0.0113554,-0.0182776,0.0115597,-0.00759315,-0.0170999,-0.00465881,0.0140939,0.0295553,-0.0207038,0.0123396,-0.0188119,0.000483092,-0.0110184,-0.12282,-7.51282,-37.7473,-19.1286,3346.75,3670.15,-11312.7,491.867,-924.961,-60,-0.00427246,-0.0350952,0.0396729,0.038147,0.0222778,0.0238037,0,0,0,0,0,0,-290,-740,-60,0.0949097,0.00305176,0.032959,0.0305176,0.0112915,-0.00762939,3.36548
1,9,0.0354643,-0.0423865,0.0301754,-0.0182743,-0.0198465,0.0163983,-0.00543732,0.0155172,-0.0170417,0.00135326,-0.0160654,-0.0163016,-0.0107132,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0292969,0.0402832,0.0308228,0.0262451,0.0183105,0.0180054,0,0,0,0,0,0,-290,-740,-60,0.0595093,0.000610352,0.017395,0.012207,0.0158691,0.000915527,3.37646
