Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0357695,-0.0121741,0.0246823,-0.00667763,-0.013743,-0.000691528,0.000666199,0.0356588,-0.0368781,0.0221052,-0.0261362,0.00994354,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0152588,0.0592041,0.0363159,0.0253296,0.0183105,0.0268555,0,0,0,0,0,0,-290,-740,-60,0.0613403,-0.0161743,0.0219727,0.0161743,0.0149536,-0.00396729,1.47369
1,1,0.0409575,-0.0256019,0.0182736,-0.0146122,0.000295103,0.00480164,-0.0124564,0.0179586,-0.0136847,0.0172224,-0.0319345,-0.000432435,-0.0119339,-0.122209,-24.6027,-26.9899,-21.57,1363.11,3090.32,-18354.6,443.269,-813.195,-60,-0.0726318,0.00793457,0.0445557,0.0378418,0.022583,0.0570679,0,0,0,0,0,0,-290,-740,-60,0.078125,0.00823975,0.0350952,0.0259399,0.0106812,-0.00274658,1.4917
1,2,0.0186796,-0.018888,0.0231564,-0.0371952,-0.0225931,0.00693787,-0.0213065,0.0271139,-0.0240607,0.0202742,-0.0233896,0.00231415,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0314331,0.0222778,0.0286865,0.0308228,0.0198364,0.0189209,0,0,0,0,0,0,-290,-740,-60,0.03479,0.0134277,0.0177002,0.0106812,0.0222778,0.0143433,1.48132
1,3,0.0406523,-0.0338416,0.031091,-0.0133915,-0.000315249,0.0130414,-0.00391144,0.0200949,-0.0155158,0.0205793,-0.0352914,-0.00104279,-0.0116287,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0241089,0.0250244,0.0372314,0.0369263,0.0234985,0.0219727,0,0,0,0,0,0,-290,-740,-60,0.0610352,-0.0115967,0.0177002,0.0177002,0.0177002,0,1.49414
1,4,0.0339384,-0.00912237,0.0271237,-0.00301552,0.00273651,0.0112103,0.00890595,0.0240622,-0.0213141,0.0166121,-0.0267465,0.0187936,-0.0119339,-0.12282,0,0,0,0,0,0,300,-750,-60,-0.0231934,0.0363159,0.0485229,0.043335,0.0286865,0.0479126,0,0,0,0,0,0,-290,-740,-60,0.0741577,-0.0405884,0.038147,0.0250244,0.0106812,-0.0167847,1.50055
1,5,0.00433636,-0.0283484,0.0301754,-0.0255985,-0.0119119,0.000223999,0.0162302,0.0344381,-0.0252814,0.0117292,-0.0166757,0.0117746,-0.0116287,-0.12282,0,0,0,0,0,0,300,-750,-60,0.017395,0.0286865,0.0256348,0.0201416,0.0180054,0.0222778,0,0,0,0,0,0,-290,-740,-60,0.0350952,0.0109863,0.0180054,0.0146484,0.017395,0.00396729,1.49597
1,6,0.0278349,-0.0301795,0.0109494,-0.0170536,-0.00123078,-0.0122882,0.00219208,0.0216208,-0.0234504,0.0166121,-0.0105722,0.00445038,-0.0110184,-0.122209,-17.6599,-34.8481,-22.3329,3690.07,3929.55,-12201.5,475.953,-915.23,-60,-0.0448608,-0.0234985,0.0460815,0.0436401,0.0247192,0.0390625,34.9512,-7.99836,-21.0507,1099.01,10890.9,-18165.7,227.363,-792.208,-60,0.098877,-0.00854492,0.0415039,0.0311279,0.0112915,-0.00976563,1.51215
1,7,0.0269194,-0.0143104,0.0304806,-0.0255985,-0.0286966,0.00602234,0.00310761,0.0225363,-0.00636053,0.0214949,-0.0145395,-0.00348419,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0280762,0.0186157,0.0280762,0.0253296,0.0192261,0.0204468,0,0,0,0,0,0,-290,-740,-60,0.0473022,0.00946045,0.0131226,0.0195313,0.0164795,0.00152588,1.49323
1,8,0.0266142,-0.0194983,0.0222409,-0.0170536,-0.0262552,-0.00771057,0.00463348,0.0316916,-0.0136847,-0.00352955,-0.0182016,0.000177916,-0.0122391,-0.122515,0,0,0,0,0,0,300,-750,-60,0.010376,0.0271606,0.0448608,0.0390625,0.0256348,0.0314331,0,0,0,0,0,0,-290,-740,-60,0.0531006,-0.0100708,0.0350952,0.0323486,0.0134277,-0.00488281,1.50269
1,9,0.0223417,-0.0170569,0.0298703,-0.0204105,-0.008555,0.0170087,-0.0103201,0.0200949,-0.0243659,0.0205793,-0.0224741,-0.0071463,-0.0113235,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0283813,0.055542,0.0375366,0.0299072,0.0241089,0.022583,0,0,0,0,0,0,-290,-740,-60,0.0662231,-0.03479,0.0320435,0.0213623,0.0125122,-0.00976563,1.492
2,0,0.0116606,-0.0219398,0.0240719,-0.0182743,0.00304168,-0.0138141,0.00676971,0.025588,-0.00788641,0.0163069,-0.0252206,0.00384003,-0.0110184,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0161743,0.0296021,0.0204468,0.0213623,0.0158691,0.0234985,0,0,0,0,0,0,-290,-740,-60,0.0311279,0.00701904,0.0152588,0.00854492,0.017395,0.00854492,1.49139
2,1,0.0363798,-0.0262122,0.0109494,-0.0204105,0.00365204,0.000223999,0.00402313,0.0277243,-0.026197,0.00867748,-0.0209482,0.00811249,-0.0116287,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.0262451,-0.00671387,0.0442505,0.0378418,0.0201416,0.0317383,0,0,0,0,0,0,-290,-740,-60,0.0613403,0.012207,0.0393677,0.0326538,0.0125122,0.00671387,1.50024
2,2,0.0223417,-0.0176673,0.0197995,-0.0323124,-0.0232034,0.0334882,-0.00085968,0.0243673,-0.02284,0.0208845,-0.031019,-0.00256867,-0.0107132,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0241089,0.0201416,0.0292969,0.0271606,0.0149536,0.0247192,0,0,0,0,0,0,-290,-740,-60,0.0558472,-0.000915527,0.015564,0.00793457,0.0180054,0.00152588,1.51001
2,3,0.0150175,-0.0249915,0.0286496,-0.0375004,-0.0320535,0.0142621,0.0095163,0.030776,-0.0133796,0.0181379,-0.0224741,-0.00317902,-0.0110184,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.0454712,0.0421143,0.0546265,0.0494385,0.0292969,0.0494385,0,0,0,0,0,0,-290,-740,-60,0.0695801,-0.0341797,0.0442505,0.0332642,0.0088501,-0.012207,1.5036
2,4,0.0235624,-0.0170569,0.00759244,-0.0118656,0.00853485,0.0133466,0.0186716,0.0176535,-0.0268073,0.014781,-0.0215585,0.00475555,-0.0116287,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0125122,0.0439453,0.0296021,0.0274658,0.0234985,0.0280762,0,0,0,0,0,0,-290,-740,-60,0.0222778,-0.0115967,0.0216675,0.0170898,0.0152588,0.0109863,1.48071
2,5,0.0168486,-0.034452,0.0164425,-0.0265141,-0.0134378,-0.000996704,0.00615936,0.0356588,-0.0197883,0.0211897,-0.0261362,0.0166574,-0.0107132,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.000915527,0.00671387,0.0408936,0.0314331,0.0189209,0.0308228,0,0,0,0,0,0,-290,-740,-60,0.0842285,0.000610352,0.0204468,0.0140381,0.0128174,-0.0109863,1.48621
2,6,0.0165434,-0.0225501,0.00423551,-0.0234623,-0.0109964,0.0188397,-0.00909943,0.0353537,-0.0142951,0.0150862,-0.0291879,0.0169626,-0.0110184,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.022583,0.00274658,0.0421143,0.0332642,0.022583,0.0317383,0,0,0,0,0,0,-290,-740,-60,0.0650024,0.00946045,0.0262451,0.0234985,0.012207,0.00305176,1.48651
2,7,0.0202055,-0.0137,0.0133908,-0.0103397,-0.00763947,0.0154828,0.00310761,0.0243673,-0.026197,0.0150862,-0.0273569,0.00933319,-0.0107132,-0.122515,0,0,0,0,0,0,300,-750,-60,0.0411987,0.0338745,0.0204468,0.0189209,0.0189209,0.0167847,0,0,0,0,0,0,-290,-740,-60,0.0683594,-0.00762939,0.0167847,0.0170898,0.0186157,-0.00854492,1.47675
2,8,0.0269194,-0.0433021,0.0317013,-0.012476,0.00761932,0.00236023,0.00432831,0.0329123,-0.0335212,0.0126448,-0.00874114,-0.00501007,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0341797,0.0390625,0.062561,0.0445557,0.0265503,0.0540161,0,0,0,0,0,0,-290,-740,-60,0.0698853,-0.0384521,0.0448608,0.0341797,0.00549316,-0.0170898,1.49292
2,9,0.0308867,-0.0170569,0.0170529,-0.0149174,0.00304168,0.0130414,0.00402313,0.0323019,-0.0216193,0.0196638,-0.0197275,-0.00378937,-0.0113235,-0.121599,0,0,0,0,0,0,300,-750,-60,0.020752,0.0521851,0.0326538,0.0265503,0.0201416,0.0305176,0,0,0,0,0,0,-290,-740,-60,0.0357056,-0.00335693,0.0222778,0.0137329,0.0164795,0.00549316,1.48682
3,0,0.0247831,-0.0201087,0.0271237,-0.00759315,-0.0195413,0.0014447,0.00493866,0.0243673,-0.0292487,0.0218,-0.0273569,0.0111642,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.00549316,-0.00732422,0.043335,0.0375366,0.0231934,0.0271606,0,0,0,0,0,0,-290,-740,-60,0.0924683,0,0.0274658,0.020752,0.0112915,-0.0119019,1.49841
3,1,0.0311918,-0.0164466,0.0194943,-0.0231571,0.00151581,0.00724304,-0.0139822,0.025588,-0.0225348,0.00959301,-0.0218637,0.00322967,-0.0122391,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0241089,0.0299072,0.0418091,0.0357056,0.0192261,0.038147,0,0,0,0,0,0,-290,-740,-60,0.0497437,0.0131226,0.0283813,0.0186157,0.0152588,0.00854492,1.49261
3,2,0.0220366,-0.0140052,0.0197995,-0.0164433,-0.0146585,0.00968445,0.00463348,0.0280294,-0.0277228,0.0291243,-0.0243051,0.00567108,-0.0101028,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0357056,0.0344849,0.0302124,0.0231934,0.0149536,0.017395,0,0,0,0,0,0,-290,-740,-60,0.043335,-0.000915527,0.0106812,0.00976563,0.0213623,0.00396729,1.50604
3,3,0.0430937,-0.0295691,0.0359738,-0.0262089,-0.0125223,0.00510681,-0.00085968,0.025588,-0.0213141,0.0184431,-0.0291879,-0.0071463,-0.0110184,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0213623,0.0421143,0.0576782,0.0521851,0.0253296,0.0430298,36.9348,-17.1536,-23.0344,3425.98,8129.03,-11261.1,62.9087,-888.734,-60,0.106812,-0.045166,0.0454712,0.0387573,0.00457764,-0.0320435,1.49994
3,4,0.021121,-0.00698614,0.0222409,-0.0188847,-0.0097757,0.00876892,-0.00360626,0.0219259,-0.0200934,0.0150862,-0.0111825,0.00750213,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0387573,0.0390625,0.0344849,0.0268555,0.0192261,0.0152588,0,0,0,0,0,0,-290,-740,-60,0.0238037,0.00640869,0.0152588,0.0149536,0.0189209,0.0152588,1.48346
3,5,0.0406523,-0.0185828,0.020715,-0.00881386,0.00731415,0.00602234,0.0143991,0.0396261,-0.0271125,0.0190535,-0.0249155,0.0151315,-0.0113235,-0.12282,0,0,0,0,0,0,300,-750,-60,-0.0158691,-0.00610352,0.0360107,0.0344849,0.0170898,0.0289917,0,0,0,0,0,0,-290,-740,-60,0.085144,-0.00305176,0.0283813,0.0244141,0.0119019,-0.00915527,1.49414
3,6,0.038516,-0.0350623,0.0286496,-0.0188847,0.00151581,0.0112103,-0.00085968,0.0194845,-0.0139899,0.0205793,-0.0203378,0.0145212,-0.0113235,-0.122515,0,0,0,0,0,0,300,-750,-60,-0.0195313,0.00549316,0.0427246,0.0363159,0.0213623,0.0350952,0,0,0,0,0,0,-290,-740,-60,0.0540161,0.0100708,0.0302124,0.0192261,0.0143433,0.00549316,1.49445
3,7,0.0153227,-0.0295691,0.031091,-0.0338383,-0.00275666,0.0139569,0.00676971,0.0350485,-0.0191779,0.0144758,-0.0233896,-0.00012726,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0326538,0.0344849,0.0396729,0.0256348,0.0213623,0.0143433,0,0,0,0,0,0,-290,-740,-60,0.0308228,0.00915527,0.0134277,0.0125122,0.0183105,0.0088501,1.48804
3,8,0.0223417,-0.0252967,0.0197995,-0.0069828,-0.0152689,0.00541199,0.00676971,0.0170431,-0.012464,0.00776196,-0.0331552,-0.00165314,-0.010408,-0.122209,0,0,0,0,0,0,300,-750,-60,0.00244141,0.0357056,0.0424194,0.038147,0.0241089,0.0335693,39.834,-19.4424,-22.5766,870.133,8449.46,-12901.4,84.2575,-778.541,-60,0.118408,-0.0543213,0.0445557,0.032959,0.00549316,-0.0344849,1.49567
