Devices
1000
,,ForceLink X-Mill - RAW - Electric Potential,,,,,,,,,,,,,,Left Belt - Force,,,Left Belt - Moment,,,Left Belt - CoP,,,Left Belt - Raw,,,,,,Right Belt - Force,,,Right Belt - Moment,,,Right Belt - CoP,,,Right Belt - Raw,,,,,,Generic Analog - Electric Potential,
Frame,Sub Frame,LFz1,LFz2,LFz3,LFz4,LFx1,LFx2,LFy1,Rz1,Rz2,Rz3,Rz4,Rx1,Rx2,Ry1,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 17,Pin 18,Pin 19,Pin 20,Pin 21,Pin 22,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 23,Pin 24,Pin 25,Pin 26,Pin 27,Pin 28,Force Transducer
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V
1,0,0.0195951,-0.0365882,0.015527,-0.014307,0.00304168,-0.00832092,0.0110422,0.0210104,-0.0265021,0.0193586,-0.0218637,0.0151315,-0.0113235,-0.12282,0,0,0,0,0,0,300,-750,-60,0.0375366,0.0115967,0.0210571,0.017395,0.0137329,0.00976563,0,0,0,0,0,0,-290,-740,-60,0.0411987,-0.00244141,0.015564,0.0158691,0.0183105,-0.000610352,4.08691
1,1,0.0311918,-0.0417762,0.0393307,-0.0173588,-0.0100809,0.00083435,0.00524384,0.0197897,-0.021009,0.0242414,-0.0331552,-0.00775665,-0.0101028,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0231934,0.0250244,0.055542,0.0408936,0.0262451,0.0506592,30.9839,-15.2463,-23.3395,603.104,9136.11,-11566.2,101.443,-765.84,-60,0.0830078,-0.0375366,0.0460815,0.0335693,0.00640869,-0.0213623,4.12018
1,2,0.0180693,-0.0277381,0.020715,-0.0198002,0.00243133,-0.00465881,0.000666199,0.035964,-0.0216193,0.0178328,-0.0307138,0.00780731,-0.0116287,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0192261,0.0210571,0.0244141,0.0167847,0.0195313,0.0234985,0,0,0,0,0,0,-290,-740,-60,0.0524902,0.00244141,0.0106812,0.0152588,0.0146484,-0.00427246,4.10645
1,3,0.0339384,-0.0088172,0.0167477,-0.0201054,-0.010386,0.0109052,0.00341278,0.0204,-0.0207038,0.0242414,-0.0218637,-0.00348419,-0.0119339,-0.122209,0,0,0,0,0,0,300,-750,-60,-0.0335693,0.00762939,0.0418091,0.0366211,0.0183105,0.0363159,0,0,0,0,0,0,-290,-740,-60,0.0704956,-0.00640869,0.027771,0.0192261,0.0131226,-0.00213623,4.10034
1,4,0.0232573,-0.0246863,0.0280392,-0.0271244,-0.0192361,0.00968445,0.0116525,0.0197897,-0.026197,0.0153913,-0.0322397,-0.00134796,-0.0113235,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0125122,0.0161743,0.0323486,0.0299072,0.0210571,0.0268555,0,0,0,0,0,0,-290,-740,-60,0.0476074,0.0115967,0.0186157,0.020752,0.0152588,0.00732422,4.10645
1,5,0.0186796,-0.0158362,0.0234616,-0.0310917,0.0109763,-0.00404846,0.000666199,0.0173483,-0.0194831,0.0144758,-0.0172861,-0.00562042,-0.0116287,-0.121904,0,0,0,0,0,0,300,-750,-60,0.0280762,0.0302124,0.0299072,0.0363159,0.0222778,0.0164795,0,0,0,0,0,0,-290,-740,-60,0.0387573,0.0012207,0.0177002,0.0115967,0.0183105,0.00793457,4.086
1,6,0.0205107,-0.0256019,0.0387204,-0.0353642,-0.008555,0.00174988,0.00646454,0.0152121,-0.0362678,0.0190535,-0.0221689,-0.00775665,-0.0107132,-0.121904,0,0,0,0,0,0,300,-750,-60,-0.0189209,0.0482178,0.0436401,0.0350952,0.0250244,0.0509644,0,0,0,0,0,0,-290,-740,-60,0.0665283,-0.0366211,0.0488281,0.0332642,0.00701904,-0.0134277,4.09485
1,7,0.0275297,-0.0289588,0.0249875,-0.0173588,-0.0128275,0.00693787,-0.00543732,0.0350485,-0.0277228,0.0126448,-0.0294931,0.0041452,-0.0116287,-0.122209,0,0,0,0,0,0,300,-750,-60,0.0210571,0.0253296,0.0357056,0.0256348,0.0186157,0.0198364,0,0,0,0,0,0,-290,-740,-60,0.0341797,0.00701904,0.0088501,0.00762939,0.0210571,0.00671387,4.09088
1,8,0.0324125,-0.0307899,0.0283444,-0.0179691,-0.00428253,0.00754822,5.58477e-005,0.0268087,-0.0289435,0.0239363,-0.00263762,0.00933319,-0.0110184,-0.121904,-21.1694,-28.8972,-24.0114,4872.63,2968.25,-16390.1,423.618,-952.93,-60,-0.0588989,0.000305176,0.0494385,0.0485229,0.0238037,0.0491333,34.4171,-6.77765,-19.3723,984.574,9776.98,-19687.7,214.69,-790.824,-60,0.0967407,-0.00366211,0.038147,0.0283813,0.0100708,-0.00518799,4.10187
